[['47.7972407, -122.2412033'], ['non-scenic', 0.0010850071], ['nature and woods', 0.00053958385], ['non-scenic', 0.00012179612]]
[['47.8061057, -122.2411226'], ['sightseeing', 0.0004647664], ['non-scenic', 0.00014227703], ['non-scenic', 0.00010696761]]
[['47.8152868, -122.2414229'], ['non-scenic', 0.0024042991], ['non-scenic', 0.00077224255], ['non-scenic', 0.00065049075]]
[['47.8240785, -122.2412113'], ['non-scenic', 0.00015194893], ['nature and woods', 7.6410084e-05], ['nature and woods', 6.1567996e-05]]
[['47.8330701, -122.2409363'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8417924, -122.2404954'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8510351, -122.241133'], ['non-scenic', 0.00043503454], ['non-scenic', 0.00014618765], ['non-scenic', 0.00010648488]]
[['47.86002080000001, -122.2412549'], ['non-scenic', 0.00084781367], ['non-scenic', 0.00020887383], ['non-scenic', 0.00010172751]]
[['47.8691042, -122.2414339'], ['non-scenic', 0.0017374081], ['non-scenic', 0.00011804354], ['non-scenic', 8.7414519e-05]]
[['47.8780759, -122.2417832'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8870574, -122.2416176'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.896193, -122.241214'], ['non-scenic', 0.00049062044], ['non-scenic', 0.00013091842], ['non-scenic', 2.9575956e-05]]
[['47.9050904, -122.2412181'], ['non-scenic', 0.021341804], ['non-scenic', 0.0001370782], ['non-scenic', 4.6963509e-05]]
[['47.9139527, -122.2412115'], ['non-scenic', 0.00051477581], ['non-scenic', 0.00015110716], ['non-scenic', 3.8361053e-05]]
[['47.9234389, -122.2412066'], ['non-scenic', 0.00018872332], ['non-scenic', 0.00012900782], ['non-scenic', 0.00012490641]]
[['47.9320902, -122.2410669'], ['non-scenic', 0.0018129161], ['non-scenic', 0.0015548099], ['non-scenic', 0.00037988141]]
[['47.9417243, -122.2399919'], ['non-scenic', 0.00011152199], ['non-scenic', 3.427004e-05], ['non-scenic', 2.6936861e-05]]
[['47.9499758, -122.2412103'], ['non-scenic', 0.0028978148], ['non-scenic', 0.00047066846], ['non-scenic', 0.00035342935]]
[['47.9594675, -122.2416387'], ['non-scenic', 0.0016855209], ['non-scenic', 0.00010721468], ['non-scenic', 4.3676704e-05]]
[['47.96403129999999, -122.2390842'], ['nature and woods', 8.4464518e-05], ['nature and woods', 3.284929e-05], ['non-scenic', 1.1583751e-05]]
[['47.9703406, -122.2300538'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9844344, -122.2285329'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9943163, -122.2239131'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0037978, -122.221551'], ['non-scenic', 9.1999704e-05], ['non-scenic', 2.2839187e-05], ['non-scenic', 8.1838234e-06]]
[['48.0050541, -122.2212486'], ['non-scenic', 2.3271181e-05], ['non-scenic', 3.9372521e-06], ['non-scenic', 3.7981461e-06]]
[['48.03114249999999, -122.2384042'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.03208590000001, -122.2400956'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.04007780000001, -122.2410264'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0488093, -122.2415668'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0566967, -122.2394684'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0656284, -122.2503822'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0760786, -122.2408499'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0850759, -122.2407906'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0860948, -122.2407736'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1088145, -122.2442388'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1125072, -122.2409998'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1230593, -122.2411538'], ['fields', 3.1100255e-05], ['nature and woods', 2.7848107e-05], ['nature and woods', 1.0589301e-05]]
[['48.13013489999999, -122.235652'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1395936, -122.2407426'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1491961, -122.2408496'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1585292, -122.2426724'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1664117, -122.2412092'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.17402269999999, -122.2413983'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1840628, -122.2400362'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1946585, -122.2396911'], ['non-scenic', 0.0014138494], ['non-scenic', 0.0006007264], ['fields', 3.1995904e-05]]
[['48.20156739999999, -122.2397552'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2107427, -122.2417816'], ['nature and woods', 1.3589491e-05], ['nature and woods', 9.6606414e-07], ['nature and woods', 7.3715256e-07]]
[['48.2225631, -122.2411653'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2290614, -122.2372486'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.23802509999999, -122.2412757'], ['non-scenic', 0.00022547427], ['non-scenic', 9.6381897e-05], ['non-scenic', 2.7229205e-05]]
[['48.24777419999999, -122.2437713'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.25608219999999, -122.2409947'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2640362, -122.2426239'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2753148, -122.2378691'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2833656, -122.240626'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2929006, -122.2408713'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2960548, -122.2453405'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3138678, -122.2345597'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.31901970000001, -122.2412947'], ['non-scenic', 0.00039047113], ['non-scenic', 0.00020938978], ['nature and woods', 1.1447927e-06]]
[['48.3268918, -122.236742'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3388342, -122.2464711'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.349744, -122.2431022'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3549496, -122.2413544'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.36341, -122.2418412'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3710911, -122.2486641'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3821297, -122.2409076'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.39015699999999, -122.2454293'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4001828, -122.2403656'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4080649, -122.2447087'], ['fields', 0.00040186674], ['non-scenic', 1.2626117e-05], ['non-scenic', 8.0716845e-06]]
[['48.4181272, -122.2414834'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.42743549999999, -122.2407254'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.43517809999999, -122.2422417'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4452372, -122.2425983'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
