[['48.53181619999999, -120.6406907'], ['mountain', 0.00020520116], ['non-scenic', 5.8403084e-06], ['non-scenic', 3.616927e-06]]
[['48.5387685, -120.63618'], ['nature and woods', 3.2655102e-05], ['non-scenic', 9.0155218e-06], ['non-scenic', 6.0499556e-06]]
[['48.5453523, -120.6320958'], ['non-scenic', 6.0086237e-05], ['non-scenic', 3.8355183e-06], ['non-scenic', 2.8336271e-06]]
[['48.5531891, -120.6312361'], ['non-scenic', 0.00017912016], ['nature and woods', 7.0811686e-05], ['non-scenic', 3.8789735e-06]]
[['48.5605326, -120.6330197'], ['mountain', 0.00020024258], ['non-scenic', 1.0639614e-05], ['non-scenic', 6.2728623e-06]]
[['48.5722578, -120.6312782'], ['non-scenic', 0.00023392084], ['nature and woods', 1.6458082e-05], ['nature and woods', 6.6085968e-06]]
[['48.581097, -120.6254504'], ['nature and woods', 1.4754309e-05], ['nature and woods', 5.3673039e-06], ['nature and woods', 3.9389074e-06]]
[['48.587189, -120.6176045'], ['nature and woods', 2.9137921e-06], ['nature and woods', 1.8673425e-06], ['nature and woods', 1.5848308e-06]]
[['48.5899512, -120.6149902'], ['nature and woods', 3.6205933e-05], ['non-scenic', 9.3300014e-06], ['nature and woods', 1.5080598e-06]]
[['48.5945227, -120.6045262'], ['non-scenic', 9.9051336e-05], ['non-scenic', 1.5245534e-05], ['nature and woods', 4.3021096e-06]]
[['48.5966041, -120.6012432'], ['nature and woods', 7.672816e-05], ['nature and woods', 7.4352874e-06], ['nature and woods', 2.9304567e-06]]
[['48.6417718, -120.6171446'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6420574, -120.6183602'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6440302, -120.6237056'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.64405800000001, -120.6242644'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.67317320000001, -120.6086757'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6764327, -120.6134911'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6810618, -120.6208311'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6872569, -120.6278019'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
